cap,dataset_gesture_total,dataset_ngesture_ratio,dataset_no_gesture,dataset_total,error,est_model_kb,hold_acc,hold_bal,hold_f1,hold_ok,model,params,preset,stream_acc,stream_bal,stream_circle,stream_f1,stream_no_g,stream_ok,stream_wave,thr_conf,thr_margin
8,80,0.2,16,96,,-1,61.904761904761905,50.92592592592592,46.21212121212121,False,svm_rbf,"{'C': 2.0, 'gamma': 0.03}",coherence_swap,60.0,64.58541458541458,85.71428571428571,58.30870279146142,27.27272727272727,False,80.76923076923077,0.2,0.0
8,80,0.2,16,96,,-1,61.904761904761905,50.92592592592592,46.21212121212121,False,svm_rbf,"{'C': 2.0, 'gamma': 0.05}",coherence_swap,58.75,62.998112998113,80.95238095238095,57.104454685099846,27.27272727272727,False,80.76923076923077,0.2,0.0
8,80,0.2,16,96,,-1,66.66666666666666,55.092592592592595,49.673202614379086,False,svm_rbf,"{'C': 5.0, 'gamma': 0.03}",coherence_swap,61.25000000000001,65.56221556221557,80.95238095238095,59.23170194003527,27.27272727272727,False,88.46153846153845,0.2,0.0
8,80,0.2,16,96,,-1,71.42857142857143,58.79629629629629,53.40909090909091,False,svm_rbf,"{'C': 5.0, 'gamma': 0.05}",coherence_swap,61.25000000000001,65.29026529026528,80.95238095238095,59.979101358411704,30.303030303030305,False,84.61538461538461,0.2,0.0
8,80,0.2,16,96,,-1,61.904761904761905,50.46296296296296,46.99792960662526,False,svm_rbf,"{'C': 10.0, 'gamma': 0.03}",coherence_swap,60.0,64.31346431346431,85.71428571428571,59.18411164787975,30.303030303030305,False,76.92307692307693,0.2,0.0
8,80,0.2,16,96,,-1,47.61904761904761,52.77777777777778,48.13186813186813,False,svm_rbf,"{'C': 10.0, 'gamma': 0.05}",coherence_swap,56.25,55.883005883005886,52.38095238095239,56.308610400682014,57.57575757575758,False,57.692307692307686,0.7,0.0
8,80,0.2,16,96,,-1,61.904761904761905,50.0,45.2991452991453,False,svm_poly2,"{'C': 1.0, 'gamma': 0.03}",coherence_swap,48.75,54.983904983904985,90.47619047619048,44.77957894115216,9.090909090909092,False,65.38461538461539,0.2,0.0
8,80,0.2,16,96,,-1,57.14285714285714,50.46296296296296,49.83164983164983,False,svm_poly2,"{'C': 1.0, 'gamma': 0.05}",coherence_swap,57.49999999999999,59.201909201909196,71.42857142857143,57.87421030839711,48.484848484848484,False,57.692307692307686,0.7,0.0
8,80,0.2,16,96,,-1,61.904761904761905,58.79629629629629,61.11111111111111,False,svm_poly2,"{'C': 5.0, 'gamma': 0.03}",coherence_swap,55.00000000000001,59.79575979575979,95.23809523809523,54.6031746031746,30.303030303030305,False,53.84615384615385,0.2,0.05
8,80,0.2,16,96,,-1,57.14285714285714,59.25925925925925,53.279352226720654,False,svm_poly2,"{'C': 5.0, 'gamma': 0.05}",coherence_swap,50.0,50.35520035520036,61.904761904761905,49.61935716865294,54.54545454545454,False,34.61538461538461,0.7,0.0
8,80,0.2,16,96,,0.19921875,80.95238095238095,79.62962962962963,81.90476190476191,True,svm_linear,{'C': 0.5},coherence_swap,52.5,55.128205128205124,66.66666666666666,52.66569908079342,33.33333333333333,False,65.38461538461539,0.2,0.05
8,80,0.2,16,96,LogisticRegression.__init__() got an unexpected keyword argument 'multi_class',,,,,,logreg,{'C': 0.5},coherence_swap,,,,,,,,,
8,80,0.2,16,96,,0.19921875,61.904761904761905,63.888888888888886,60.91686091686091,False,svm_linear,{'C': 1.0},coherence_swap,57.49999999999999,58.624708624708624,66.66666666666666,58.32062117776403,51.515151515151516,False,57.692307692307686,0.2,0.15000000000000002
8,80,0.2,16,96,LogisticRegression.__init__() got an unexpected keyword argument 'multi_class',,,,,,logreg,{'C': 1.0},coherence_swap,,,,,,,,,
8,80,0.2,16,96,,0.19921875,66.66666666666666,54.629629629629626,48.88888888888889,False,svm_linear,{'C': 2.0},coherence_swap,51.24999999999999,55.23920523920523,71.42857142857143,49.56301904231172,21.21212121212121,False,73.07692307692307,0.2,0.0
8,80,0.2,16,96,LogisticRegression.__init__() got an unexpected keyword argument 'multi_class',,,,,,logreg,{'C': 2.0},coherence_swap,,,,,,,,,
8,80,0.2,16,96,,0.19921875,52.38095238095239,42.129629629629626,38.73015873015873,False,lda,{'solver': 'svd'},coherence_swap,61.25000000000001,64.74636474636476,80.95238095238095,60.68376068376068,36.36363636363637,False,76.92307692307693,0.2,0.05
8,80,0.2,16,96,,0.19921875,38.095238095238095,33.33333333333333,18.39080459770115,False,lda,{'solver': 'lsqr'},coherence_swap,32.5,33.33333333333333,0.0,16.352201257861633,0.0,False,100.0,0.2,0.0
8,80,0.2,16,96,The covariance matrix of class 0 is not full rank. Increase the value of `reg_param` to reduce the collinearity.,,,,,,qda,{'reg_param': 0.0},coherence_swap,,,,,,,,,
8,80,0.2,16,96,"The covariance matrix of class 2 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 2 has 12 samples and 16 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.",,,,,,qda,{'reg_param': 0.1},coherence_swap,,,,,,,,,
8,80,0.2,16,96,"The covariance matrix of class 2 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 2 has 12 samples and 16 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization.",,,,,,qda,{'reg_param': 0.2},coherence_swap,,,,,,,,,
8,80,0.2,16,96,,-1,57.14285714285714,46.75925925925925,46.85314685314685,False,gnb,{'var_smoothing': 1e-09},coherence_swap,48.75,53.59085359085359,85.71428571428571,48.316877578454545,21.21212121212121,False,53.84615384615385,0.8999999999999999,0.0
8,80,0.2,16,96,,-1,57.14285714285714,46.75925925925925,46.85314685314685,False,gnb,{'var_smoothing': 1e-08},coherence_swap,51.24999999999999,55.611055611055605,85.71428571428571,51.16745688174259,27.27272727272727,False,53.84615384615385,0.8999999999999999,0.0
8,80,0.2,16,96,,-1,80.95238095238095,79.62962962962963,81.90476190476191,True,nearest_centroid,{},coherence_swap,55.00000000000001,58.57475857475857,76.19047619047619,54.90463945140899,30.303030303030305,False,69.23076923076923,0.2,0.0
8,80,0.2,16,96,,0.37109375,61.904761904761905,65.27777777777779,65.16816516816517,False,decision_tree,"{'max_depth': 4, 'min_samples_leaf': 2}",coherence_swap,66.25,65.86746586746587,52.38095238095239,64.99999999999999,60.60606060606061,False,84.61538461538461,0.2,0.0
8,80,0.2,16,96,,0.52734375,61.904761904761905,64.81481481481481,66.2907268170426,False,decision_tree,"{'max_depth': 6, 'min_samples_leaf': 2}",coherence_swap,58.75,57.53135753135753,38.095238095238095,57.075632544499754,57.57575757575758,False,76.92307692307693,0.2,0.0
8,80,0.2,16,96,,0.60546875,57.14285714285714,60.64814814814815,62.77622159975101,False,decision_tree,"{'max_depth': 8, 'min_samples_leaf': 2}",coherence_swap,60.0,58.846708846708836,42.857142857142854,58.73808074660175,60.60606060606061,False,73.07692307692307,0.2,0.0
8,80,0.2,16,96,,0.94921875,71.42857142857143,67.12962962962963,70.27417027417027,False,mlp_tiny,"{'hidden': (12,), 'alpha': 0.0001}",coherence_swap,61.25000000000001,63.62526362526363,76.19047619047619,61.441869677163794,45.45454545454545,False,69.23076923076923,0.2,0.0
8,80,0.2,16,96,,0.94921875,71.42857142857143,67.12962962962963,70.27417027417027,False,mlp_tiny,"{'hidden': (12,), 'alpha': 0.001}",coherence_swap,61.25000000000001,63.62526362526363,76.19047619047619,61.441869677163794,45.45454545454545,False,69.23076923076923,0.2,0.0
8,80,0.2,16,96,,1.69921875,52.38095238095239,42.59259259259259,39.33747412008282,False,mlp_tiny,"{'hidden': (16, 8), 'alpha': 0.0001}",coherence_swap,55.00000000000001,58.0974580974581,85.71428571428571,55.465768799102136,42.42424242424242,False,46.15384615384615,0.49999999999999994,0.0
8,80,0.2,16,96,,1.69921875,52.38095238095239,42.59259259259259,39.33747412008282,False,mlp_tiny,"{'hidden': (16, 8), 'alpha': 0.001}",coherence_swap,55.00000000000001,58.0974580974581,85.71428571428571,55.465768799102136,42.42424242424242,False,46.15384615384615,0.49999999999999994,0.0
8,80,0.2,16,96,,2.91796875,47.61904761904761,43.05555555555555,43.57864357864358,False,mlp_tiny,"{'hidden': (24, 12), 'alpha': 0.0001}",coherence_swap,60.0,63.192363192363196,80.95238095238095,59.805683279601155,39.39393939393939,False,69.23076923076923,0.2,0.0
8,80,0.2,16,96,,2.91796875,52.38095238095239,47.222222222222214,49.29292929292928,False,mlp_tiny,"{'hidden': (24, 12), 'alpha': 0.001}",coherence_swap,60.0,63.46431346431346,80.95238095238095,59.536407155454775,36.36363636363637,False,73.07692307692307,0.2,0.0
12,80,0.3,24,104,,-1,66.66666666666666,66.73280423280423,66.04658957600135,False,svm_rbf,"{'C': 2.0, 'gamma': 0.03}",coherence_swap,57.49999999999999,59.168609168609166,66.66666666666666,57.838041431261765,45.45454545454545,False,65.38461538461539,0.7,0.0
12,80,0.3,24,104,,-1,70.83333333333334,71.03174603174604,71.62698412698413,True,svm_rbf,"{'C': 2.0, 'gamma': 0.05}",coherence_swap,62.5,66.02841602841603,80.95238095238095,62.1562420696932,36.36363636363637,False,80.76923076923077,0.2,0.0
12,80,0.3,24,104,,-1,79.16666666666666,78.43915343915344,79.04761904761905,True,svm_rbf,"{'C': 5.0, 'gamma': 0.03}",coherence_swap,62.5,65.45121545121545,76.19047619047619,62.68924779820665,39.39393939393939,False,80.76923076923077,0.2,0.0
12,80,0.3,24,104,,-1,75.0,73.08201058201057,72.74531024531025,False,svm_rbf,"{'C': 5.0, 'gamma': 0.05}",coherence_swap,60.0,62.309912309912306,71.42857142857143,60.81766039749233,42.42424242424242,False,73.07692307692307,0.2,0.05
12,80,0.3,24,104,,-1,70.83333333333334,68.91534391534391,69.0909090909091,False,svm_rbf,"{'C': 10.0, 'gamma': 0.03}",coherence_swap,57.49999999999999,59.71250971250971,66.66666666666666,57.92201938246563,39.39393939393939,False,73.07692307692307,0.2,0.0
12,80,0.3,24,104,,-1,70.83333333333334,68.32010582010581,66.74242424242425,False,svm_rbf,"{'C': 10.0, 'gamma': 0.05}",coherence_swap,65.0,66.58896658896658,66.66666666666666,65.03610528767761,48.484848484848484,False,84.61538461538461,0.2,0.0
12,80,0.3,24,104,,-1,70.83333333333334,70.43650793650794,70.18602312719958,False,svm_poly2,"{'C': 1.0, 'gamma': 0.03}",coherence_swap,58.75,59.634809634809635,66.66666666666666,59.17830398704715,54.54545454545454,False,57.692307692307686,0.7,0.0
12,80,0.3,24,104,,-1,62.5,61.64021164021164,62.48196248196248,False,svm_poly2,"{'C': 1.0, 'gamma': 0.05}",coherence_swap,58.75,62.48751248751249,85.71428571428571,59.67604433077579,36.36363636363637,False,65.38461538461539,0.2,0.0
12,80,0.3,24,104,,-1,66.66666666666666,65.34391534391534,65.51226551226551,False,svm_poly2,"{'C': 5.0, 'gamma': 0.03}",coherence_swap,60.0,63.46431346431346,80.95238095238095,60.43297101449275,36.36363636363637,False,73.07692307692307,0.2,0.0
12,80,0.3,24,104,,-1,66.66666666666666,64.74867724867724,64.71861471861472,False,svm_poly2,"{'C': 5.0, 'gamma': 0.05}",coherence_swap,56.25,59.04095904095904,76.19047619047619,56.506746961079514,39.39393939393939,False,61.53846153846154,0.2,0.0
12,80,0.3,24,104,,0.19921875,58.333333333333336,57.341269841269835,57.75296827928407,False,svm_linear,{'C': 0.5},coherence_swap,56.25,55.61105561105562,52.38095238095239,56.4267980651011,60.60606060606061,False,53.84615384615385,0.2,0.15000000000000002
12,80,0.3,24,104,LogisticRegression.__init__() got an unexpected keyword argument 'multi_class',,,,,,logreg,{'C': 0.5},coherence_swap,,,,,,,,,
12,80,0.3,24,104,,0.19921875,58.333333333333336,57.341269841269835,57.75296827928407,False,svm_linear,{'C': 1.0},coherence_swap,61.25000000000001,61.077811077811084,61.904761904761905,61.250173828396605,63.63636363636363,False,57.692307692307686,0.2,0.15000000000000002
12,80,0.3,24,104,LogisticRegression.__init__() got an unexpected keyword argument 'multi_class',,,,,,logreg,{'C': 1.0},coherence_swap,,,,,,,,,
12,80,0.3,24,104,,0.19921875,58.333333333333336,57.473544973544975,56.666666666666664,False,svm_linear,{'C': 2.0},coherence_swap,58.75,61.57176157176158,71.42857142857143,58.44220746769473,36.36363636363637,False,76.92307692307693,0.2,0.0
12,80,0.3,24,104,LogisticRegression.__init__() got an unexpected keyword argument 'multi_class',,,,,,logreg,{'C': 2.0},coherence_swap,,,,,,,,,
12,80,0.3,24,104,,0.19921875,58.333333333333336,56.87830687830687,56.942355889724304,False,lda,{'solver': 'svd'},coherence_swap,61.25000000000001,63.5919635919636,71.42857142857143,61.09090909090909,42.42424242424242,False,76.92307692307693,0.2,0.0
12,80,0.3,24,104,,0.19921875,33.33333333333333,33.33333333333333,16.666666666666664,False,lda,{'solver': 'lsqr'},coherence_swap,41.25,33.33333333333333,0.0,19.469026548672566,100.0,False,0.0,0.2,0.0
12,80,0.3,24,104,The covariance matrix of class 0 is not full rank. Increase the value of `reg_param` to reduce the collinearity.,,,,,,qda,{'reg_param': 0.0},coherence_swap,,,,,,,,,
12,80,0.3,24,104,,-1,70.83333333333334,69.84126984126982,69.24242424242424,False,qda,{'reg_param': 0.1},coherence_swap,62.5,60.38961038961038,52.38095238095239,61.86926242481798,78.78787878787878,False,50.0,0.7499999999999999,0.0
12,80,0.3,24,104,,-1,70.83333333333334,69.97354497354497,70.51282051282051,False,qda,{'reg_param': 0.2},coherence_swap,65.0,65.53446553446554,71.42857142857143,65.24216524216526,63.63636363636363,False,61.53846153846154,0.2,0.25
12,80,0.3,24,104,,-1,66.66666666666666,66.4021164021164,67.36596736596736,True,gnb,{'var_smoothing': 1e-09},coherence_swap,50.0,55.41680541680542,85.71428571428571,48.596475822503216,15.151515151515152,False,65.38461538461539,0.7,0.0
12,80,0.3,24,104,,-1,66.66666666666666,66.4021164021164,67.36596736596736,True,gnb,{'var_smoothing': 1e-08},coherence_swap,51.24999999999999,56.426906426906434,85.71428571428571,50.30587753190493,18.181818181818183,False,65.38461538461539,0.2,0.2
12,80,0.3,24,104,,-1,66.66666666666666,66.4021164021164,66.38888888888889,True,nearest_centroid,{},coherence_swap,57.49999999999999,58.86335886335886,61.904761904761905,57.73993808049536,45.45454545454545,False,69.23076923076923,0.2,0.0
12,80,0.3,24,104,,0.44921875,50.0,47.222222222222214,39.61352657004831,False,decision_tree,"{'max_depth': 4, 'min_samples_leaf': 2}",coherence_swap,46.25,44.57209457209457,57.14285714285714,39.2063492063492,72.72727272727273,False,3.8461538461538463,0.8999999999999999,0.0
12,80,0.3,24,104,,0.56640625,54.166666666666664,53.042328042328045,51.692362218678014,False,decision_tree,"{'max_depth': 6, 'min_samples_leaf': 2}",coherence_swap,67.5,66.0950160950161,57.14285714285714,66.95498185224213,75.75757575757575,False,65.38461538461539,0.7,0.0
12,80,0.3,24,104,,0.56640625,54.166666666666664,53.042328042328045,51.692362218678014,False,decision_tree,"{'max_depth': 8, 'min_samples_leaf': 2}",coherence_swap,67.5,66.0950160950161,57.14285714285714,66.95498185224213,75.75757575757575,False,65.38461538461539,0.7,0.0
12,80,0.3,24,104,,0.94921875,75.0,74.60317460317461,73.67186190715603,False,mlp_tiny,"{'hidden': (12,), 'alpha': 0.0001}",coherence_swap,65.0,64.92396492396493,61.904761904761905,65.12593198763412,63.63636363636363,False,69.23076923076923,0.2,0.2
12,80,0.3,24,104,,0.94921875,75.0,75.1984126984127,75.47385620915034,True,mlp_tiny,"{'hidden': (12,), 'alpha': 0.001}",coherence_swap,65.0,65.5011655011655,66.66666666666666,65.33855633960273,60.60606060606061,True,69.23076923076923,0.2,0.05
12,80,0.3,24,104,,1.69921875,70.83333333333334,69.97354497354497,70.51282051282051,False,mlp_tiny,"{'hidden': (16, 8), 'alpha': 0.0001}",coherence_swap,62.5,64.05816405816405,71.42857142857143,62.952999381570805,51.515151515151516,True,69.23076923076923,0.2,0.0
12,80,0.3,24,104,,1.69921875,70.83333333333334,69.97354497354497,70.51282051282051,False,mlp_tiny,"{'hidden': (16, 8), 'alpha': 0.001}",coherence_swap,62.5,64.05816405816405,71.42857142857143,62.84479717813052,51.515151515151516,True,69.23076923076923,0.2,0.0
12,80,0.3,24,104,,2.91796875,62.5,63.029100529100525,63.23232323232323,False,mlp_tiny,"{'hidden': (24, 12), 'alpha': 0.0001}",coherence_swap,68.75,66.52791652791653,52.38095238095239,67.36136136136138,81.81818181818183,False,65.38461538461539,0.7,0.0
12,80,0.3,24,104,,2.91796875,70.83333333333334,70.8994708994709,70.70707070707071,False,mlp_tiny,"{'hidden': (24, 12), 'alpha': 0.001}",coherence_swap,72.5,71.25652125652125,61.904761904761905,71.62404092071611,78.78787878787878,False,73.07692307692307,0.2,0.30000000000000004
16,80,0.4,32,112,,-1,54.54545454545454,54.722222222222214,57.467532467532465,False,svm_rbf,"{'C': 2.0, 'gamma': 0.03}",coherence_swap,58.75,62.52081252081253,90.47619047619048,58.75533724127949,39.39393939393939,False,57.692307692307686,0.2,0.0
16,80,0.4,32,112,,-1,50.0,50.55555555555556,50.660450660450664,False,svm_rbf,"{'C': 2.0, 'gamma': 0.05}",coherence_swap,63.74999999999999,67.4103674103674,95.23809523809523,64.14488017429196,45.45454545454545,False,61.53846153846154,0.2,0.0
16,80,0.4,32,112,,-1,54.54545454545454,54.722222222222214,55.55555555555555,False,svm_rbf,"{'C': 5.0, 'gamma': 0.03}",coherence_swap,63.74999999999999,67.4103674103674,95.23809523809523,64.14488017429196,45.45454545454545,False,61.53846153846154,0.2,0.0
16,80,0.4,32,112,,-1,54.54545454545454,54.722222222222214,55.55555555555555,False,svm_rbf,"{'C': 5.0, 'gamma': 0.05}",coherence_swap,62.5,65.007215007215,90.47619047619048,62.49359959037378,54.54545454545454,False,50.0,0.2,0.0
16,80,0.4,32,112,,-1,54.54545454545454,54.722222222222214,55.55555555555555,False,svm_rbf,"{'C': 10.0, 'gamma': 0.03}",coherence_swap,62.5,65.007215007215,90.47619047619048,62.45257953627238,54.54545454545454,False,50.0,0.2,0.0
16,80,0.4,32,112,,-1,50.0,51.01851851851852,50.23310023310024,False,svm_rbf,"{'C': 10.0, 'gamma': 0.05}",coherence_swap,68.75,68.87001887001887,76.19047619047619,68.3030303030303,72.72727272727273,False,57.692307692307686,0.2,0.0
16,80,0.4,32,112,,-1,59.09090909090909,61.38888888888888,62.96296296296296,False,svm_poly2,"{'C': 1.0, 'gamma': 0.03}",coherence_swap,61.25000000000001,64.54101454101455,90.47619047619048,61.91919191919192,45.45454545454545,False,57.692307692307686,0.2,0.0
16,80,0.4,32,112,,-1,54.54545454545454,54.722222222222214,57.467532467532465,False,svm_poly2,"{'C': 1.0, 'gamma': 0.05}",coherence_swap,61.25000000000001,64.81296481296481,90.47619047619048,61.943241943241944,42.42424242424242,False,61.53846153846154,0.2,0.0
16,80,0.4,32,112,,-1,50.0,56.481481481481474,50.71225071225071,False,svm_poly2,"{'C': 5.0, 'gamma': 0.03}",coherence_swap,51.24999999999999,50.21090021090021,52.38095238095239,50.36549707602339,63.63636363636363,False,34.61538461538461,0.7,0.0
16,80,0.4,32,112,,-1,54.54545454545454,54.25925925925926,53.62318840579711,False,svm_poly2,"{'C': 5.0, 'gamma': 0.05}",coherence_swap,61.25000000000001,65.15151515151516,100.0,61.430113583028245,45.45454545454545,False,50.0,0.2,0.0
16,80,0.4,32,112,,0.19921875,63.63636363636363,68.5185185185185,65.16339869281046,False,svm_linear,{'C': 0.5},coherence_swap,60.0,61.46076146076146,66.66666666666666,60.3395225464191,48.484848484848484,False,69.23076923076923,0.2,0.0
16,80,0.4,32,112,LogisticRegression.__init__() got an unexpected keyword argument 'multi_class',,,,,,logreg,{'C': 0.5},coherence_swap,,,,,,,,,
16,80,0.4,32,112,,0.19921875,63.63636363636363,68.5185185185185,65.16339869281046,False,svm_linear,{'C': 1.0},coherence_swap,61.25000000000001,62.47086247086248,66.66666666666666,61.67933840202748,51.515151515151516,True,69.23076923076923,0.2,0.0
16,80,0.4,32,112,LogisticRegression.__init__() got an unexpected keyword argument 'multi_class',,,,,,logreg,{'C': 1.0},coherence_swap,,,,,,,,,
